n_sim,p_max,w_max,gamma,delta,T,seed,time,obj,constr,schedule,deferred
25,20,10,2,0.3,50,7,0.0026040077209472,66,31,"['B2', 'B4', 'A4', 'B5', 'A5', 'A6', 'B7', 'B8', 'A10', 'RMA', 'B13', 'B14', 'A20', 'A21', 'B15', 'B16', 'A22', 'B17', 'A23', 'B18', 'B19', 'B21', 'B22', 'B23', 'A25', 'B24', 'B25']","['B1', 'A1', 'A2', 'B3', 'A3', 'B6', 'A7', 'A8', 'A9', 'A11', 'A12', 'A13', 'A14', 'B9', 'A15', 'A16', 'A17', 'B10', 'B11', 'A18', 'A19', 'B12', 'B20', 'A24']"
25,20,10,2,0.3,50,8,0.0030691623687744,-99999,-99999,[],[]
25,20,10,2,0.3,50,9,0.0026681423187255,67,31,"['B7', 'A7', 'RMA', 'B13', 'A12', 'A13', 'B14', 'A14', 'B15', 'B16', 'B17', 'A18', 'A19', 'B18', 'B19', 'A21', 'B20', 'A22', 'A23', 'A24', 'B21', 'B22', 'B23', 'B24', 'A25', 'B25']","['A1', 'A2', 'B1', 'A3', 'B2', 'B3', 'B4', 'B5', 'B6', 'A4', 'B8', 'B9', 'A5', 'B10', 'A6', 'A8', 'A9', 'B11', 'B12', 'A10', 'A11', 'A15', 'A16', 'A17', 'A20']"
25,20,10,2,0.3,50,10,0.0030360221862792,-99999,-99999,[],[]
25,20,10,2,0.3,50,11,0.0027709007263183,63,31,"['B3', 'RMA', 'A7', 'B6', 'A8', 'A9', 'B7', 'B8', 'A10', 'B9', 'A12', 'B11', 'B12', 'A14', 'B13', 'B14', 'B15', 'A16', 'A18', 'A19', 'B17', 'A21', 'A24', 'B20', 'A25', 'B21', 'B22', 'B23', 'B25']","['B1', 'B2', 'A1', 'A2', 'B4', 'A3', 'A4', 'A5', 'B5', 'A6', 'A11', 'B10', 'A13', 'A15', 'A17', 'B16', 'A20', 'A22', 'B18', 'B19', 'A23', 'B24']"
25,20,10,2,0.3,50,12,0.0025970935821533,114,31,"['B3', 'B8', 'B9', 'B10', 'A6', 'B11', 'B12', 'B13', 'B14', 'B17', 'B18', 'B19', 'B20', 'B21', 'B22', 'B24', 'B25', 'A22', 'A25']","['A1', 'B1', 'A2', 'A3', 'B2', 'B4', 'A4', 'A5', 'B5', 'B6', 'B7', 'A7', 'A8', 'A9', 'A10', 'A11', 'A12', 'B15', 'A13', 'B16', 'A14', 'A15', 'A16', 'A17', 'A18', 'A19', 'B23', 'A20', 'A21', 'A23', 'A24']"
25,20,10,2,0.3,50,13,0.0028579235076904,90,30,"['B2', 'A9', 'RMA', 'B8', 'B9', 'B10', 'A16', 'B11', 'B12', 'A17', 'B13', 'B14', 'B15', 'B16', 'B17', 'B19', 'A19', 'B21', 'A20', 'A21', 'B23', 'A22', 'A23', 'B24', 'B25', 'A25']","['B1', 'A1', 'A2', 'B3', 'A3', 'A4', 'A5', 'A6', 'B4', 'B5', 'A7', 'B6', 'A8', 'B7', 'A10', 'A11', 'A12', 'A13', 'A14', 'A15', 'A18', 'B18', 'B20', 'B22', 'A24']"
25,20,10,2,0.3,50,14,0.002249002456665,85,31,"['B1', 'B3', 'B5', 'B6', 'A8', 'A10', 'B9', 'A16', 'A17', 'A18', 'B10', 'B14', 'B15', 'B16', 'B17', 'A24', 'B20', 'B21', 'B22', 'B23', 'B25']","['A1', 'A2', 'A3', 'A4', 'A5', 'B2', 'B4', 'A6', 'B7', 'B8', 'A7', 'A9', 'A11', 'A12', 'A13', 'A14', 'A15', 'A19', 'B11', 'A20', 'B12', 'A21', 'B13', 'A22', 'A23', 'B18', 'B19', 'A25', 'B24']"
25,20,10,2,0.3,50,15,0.0026080608367919,86,31,"['B1', 'B2', 'A11', 'B7', 'RMA', 'B10', 'B11', 'A14', 'A15', 'A16', 'B12', 'A17', 'B13', 'B14', 'A21', 'B15', 'B17', 'B18', 'A23', 'B19', 'B20', 'B21', 'B23', 'B24', 'A25', 'B25']","['A1', 'A2', 'A3', 'A4', 'A5', 'A6', 'A7', 'B3', 'B4', 'B5', 'A8', 'B6', 'A9', 'A10', 'B8', 'A12', 'A13', 'B9', 'A18', 'A19', 'A20', 'B16', 'A22', 'A24', 'B22']"
25,20,10,2,0.3,50,16,0.0022940635681152,78,31,"['B1', 'B2', 'A3', 'B3', 'A4', 'B5', 'A5', 'B7', 'A7', 'B8', 'B10', 'B11', 'B13', 'B15', 'B16', 'B17', 'A13', 'B20', 'B21', 'B23', 'A21', 'A23', 'B24', 'A24', 'B25', 'A25']","['A1', 'A2', 'B4', 'B6', 'A6', 'A8', 'A9', 'A10', 'B9', 'B12', 'B14', 'A11', 'A12', 'B18', 'A14', 'A15', 'B19', 'A16', 'A17', 'A18', 'A19', 'A20', 'B22', 'A22']"
