n_sim,p_max,w_max,alpha,beta,T,seed,time,obj,schedule,deferred
25,20,10,0,0.6,50,7,0.0463731288909912,110,"['A1', 'A4', 'A3', 'B3', 'A7', 'A8', 'RMA', 'B6', 'A9', 'B7', 'B8', 'B9', 'B10', 'B11', 'B13', 'A11', 'A12', 'B14', 'A13', 'B15', 'A14', 'B16', 'A15', 'A16', 'B17', 'B18', 'B19', 'A17', 'A18', 'B20', 'A19', 'A20', 'B21', 'A21', 'A22', 'B22', 'B23', 'B24', 'A23', 'A24', 'B25', 'A25']","['B1', 'A2', 'B2', 'A5', 'A6', 'B4', 'B5', 'B12', 'A10']"
25,20,10,0,0.6,50,8,0.0530011653900146,73,"['A1', 'A3', 'RMA', 'B6', 'A4', 'A5', 'A6', 'A7', 'A8', 'B7', 'A9', 'A10', 'B8', 'B9', 'B10', 'A11', 'A12', 'B12', 'B13', 'B14', 'B16', 'A13', 'B17', 'B18', 'A14', 'A15', 'A16', 'A17', 'A18', 'A19', 'A20', 'A21', 'B24', 'A22', 'B25', 'A23', 'A24', 'A25']","['B1', 'B2', 'A2', 'B3', 'B4', 'B5', 'B11', 'B15', 'B19', 'B20', 'B21', 'B22', 'B23']"
25,20,10,0,0.6,50,9,0.0504708290100097,69,"['A1', 'A3', 'B4', 'A5', 'A6', 'B8', 'B9', 'RMA', 'A8', 'B10', 'B11', 'A9', 'A10', 'B12', 'B14', 'B16', 'A11', 'A12', 'A13', 'A14', 'B17', 'A15', 'B18', 'A16', 'A17', 'A18', 'A19', 'A20', 'B19', 'A21', 'B20', 'A22', 'A23', 'B21', 'B22', 'A24', 'B23', 'B24', 'B25', 'A25']","['B1', 'A2', 'B2', 'B3', 'B5', 'B6', 'A4', 'B7', 'A7', 'B13', 'B15']"
25,20,10,0,0.6,50,10,0.0571250915527343,147,"['A2', 'A3', 'A6', 'RMA', 'A8', 'A9', 'A10', 'B11', 'B12', 'A11', 'A12', 'A13', 'A14', 'B13', 'A15', 'A16', 'B14', 'B15', 'A17', 'A18', 'B16', 'B17', 'A19', 'A20', 'A21', 'B18', 'B19', 'B20', 'B22', 'B23', 'A22', 'B24', 'B25', 'A23', 'A24', 'A25']","['A1', 'B1', 'B2', 'B3', 'B4', 'B5', 'A4', 'A5', 'A7', 'B6', 'B7', 'B8', 'B9', 'B10', 'B21']"
25,20,10,0,0.6,50,11,0.0518500804901123,127,"['A1', 'A3', 'A4', 'A5', 'A7', 'A8', 'A10', 'B9', 'A12', 'A13', 'A15', 'A16', 'B11', 'B12', 'B13', 'B15', 'A17', 'B17', 'A18', 'A19', 'A20', 'B18', 'A21', 'B19', 'B20', 'A22', 'A23', 'A24', 'B23', 'B24', 'A25', 'B25']","['B1', 'A2', 'B2', 'B3', 'B4', 'B5', 'A6', 'B6', 'B7', 'B8', 'A9', 'A11', 'A14', 'B10', 'B14', 'B16', 'B21', 'B22']"
25,20,10,0,0.6,50,12,0.0488131046295166,78,"['A1', 'B2', 'A2', 'B5', 'A3', 'A4', 'A5', 'B7', 'A6', 'B8', 'A7', 'A8', 'B9', 'A11', 'A12', 'A13', 'A14', 'A15', 'A16', 'A17', 'B13', 'A18', 'B16', 'B17', 'RMA', 'A19', 'B19', 'A20', 'B21', 'A21', 'B22', 'A22', 'B23', 'A23', 'A24', 'B24', 'B25', 'A25']","['B1', 'B3', 'B4', 'B6', 'A9', 'B10', 'A10', 'B11', 'B12', 'B14', 'B15', 'B18', 'B20']"
25,20,10,0,0.6,50,13,0.0475590229034423,30,"['B2', 'B4', 'B5', 'A1', 'A2', 'A3', 'RMA', 'A4', 'A5', 'B11', 'B12', 'A6', 'B13', 'A7', 'B14', 'A8', 'B15', 'A9', 'A10', 'A11', 'B17', 'A12', 'A13', 'A14', 'A15', 'B18', 'B19', 'A16', 'A17', 'A18', 'B20', 'B21', 'A19', 'B22', 'A20', 'A21', 'A22', 'A23', 'A24', 'B23', 'B24', 'B25', 'A25']","['B1', 'B3', 'B6', 'B7', 'B8', 'B9', 'B10', 'B16']"
25,20,10,0,0.6,50,14,0.0434260368347168,41,"['B1', 'A1', 'B2', 'B5', 'A2', 'A5', 'A7', 'B8', 'A8', 'B9', 'A9', 'A10', 'A11', 'A12', 'A13', 'B12', 'RMA', 'A14', 'B13', 'A15', 'B14', 'B15', 'A16', 'B16', 'A17', 'B17', 'A18', 'B18', 'B19', 'A19', 'A20', 'A21', 'B21', 'A22', 'A23', 'A24', 'B22', 'B23', 'A25', 'B24', 'B25']","['B3', 'B4', 'B6', 'A3', 'A4', 'A6', 'B7', 'B10', 'B11', 'B20']"
25,20,10,0,0.6,50,15,0.0514740943908691,57,"['A1', 'A2', 'A3', 'A5', 'A6', 'B2', 'B3', 'A8', 'B5', 'RMA', 'A9', 'A10', 'B9', 'B10', 'B11', 'A11', 'A12', 'A13', 'A14', 'A15', 'A16', 'B13', 'B14', 'B15', 'B16', 'B17', 'A17', 'B18', 'B19', 'A18', 'B20', 'B21', 'A19', 'A20', 'A21', 'B22', 'A22', 'B23', 'B24', 'A23', 'B25', 'A24', 'A25']","['B1', 'A4', 'A7', 'B4', 'B6', 'B7', 'B8', 'B12']"
25,20,10,0,0.6,50,16,0.0433349609375,38,"['A2', 'A3', 'A4', 'A5', 'RMA', 'A6', 'B4', 'A7', 'A8', 'A9', 'A10', 'B5', 'B6', 'A11', 'B7', 'A12', 'B8', 'B9', 'B10', 'B11', 'A13', 'B12', 'A14', 'B13', 'B15', 'B16', 'A15', 'B17', 'B18', 'B19', 'A16', 'A17', 'A18', 'A19', 'B20', 'A20', 'A21', 'A22', 'B21', 'A23', 'B22', 'B23', 'A24', 'B24', 'A25', 'B25']","['A1', 'B1', 'B2', 'B3', 'B14']"
25,20,10,0,0.6,50,17,0.0550360679626464,104,"['B1', 'A5', 'A7', 'A8', 'A9', 'A10', 'B4', 'RMA', 'A11', 'B6', 'B7', 'A12', 'B8', 'B9', 'A13', 'B10', 'B11', 'B12', 'A14', 'A15', 'A16', 'A17', 'A18', 'A19', 'A20', 'B14', 'B15', 'B16', 'B17', 'A21', 'A22', 'B18', 'B19', 'A23', 'B20', 'B21', 'B22', 'A24', 'A25', 'B23', 'B24', 'B25']","['A1', 'A2', 'A3', 'A4', 'B2', 'A6', 'B3', 'B5', 'B13']"
