n_sim,p_max,w_max,gamma,delta,T,seed,time,obj,constr,schedule,deferred
10,20,10,2,0.6,50,15,0.044327974319458,33,11,"['A1', 'A2', 'B3', 'A4', 'B5', 'B6', 'B7', 'B8', 'A7', 'A9', 'B10', 'A10']","['B1', 'B2', 'A3', 'B4', 'A5', 'A6', 'A8', 'B9']"
10,20,10,2,0.6,50,16,0.0372271537780761,19,11,"['A3', 'B3', 'B6', 'A4', 'A5', 'B7', 'A6', 'A7', 'B8', 'A8', 'A9', 'B9', 'B10']","['A1', 'A2', 'B1', 'B2', 'B4', 'B5', 'A10']"
10,20,10,2,0.6,50,17,0.0457608699798584,41,12,"['B1', 'B3', 'A3', 'B5', 'B6', 'B7', 'B8', 'B9', 'A6', 'A7', 'A8']","['B2', 'A1', 'A2', 'B4', 'A4', 'A5', 'B10', 'A9', 'A10']"
10,20,10,2,0.6,50,18,0.0420689582824707,-99999,-99999,[],[]
10,20,10,2,0.6,50,19,0.0369899272918701,43,12,"['B2', 'A1', 'B4', 'A2', 'B6', 'A5', 'A6', 'B8', 'A7', 'A8', 'B9', 'B10', 'A9', 'A10']","['B1', 'B3', 'B5', 'A3', 'B7', 'A4']"
10,20,10,2,0.6,50,20,0.0589532852172851,-99999,-99999,[],[]
10,20,10,2,0.6,50,21,0.0472297668457031,67,12,"['A1', 'B2', 'A3', 'B5', 'A6', 'A7', 'A8', 'B7', 'B8', 'A9', 'B9', 'A10', 'B10']","['B1', 'B3', 'A2', 'A4', 'A5', 'B4', 'B6']"
10,20,10,2,0.6,50,22,0.0506579875946044,139,12,"['B2', 'B3', 'B5', 'A5', 'B6', 'B7', 'A7', 'B8', 'A9', 'B9', 'B10']","['A1', 'B1', 'A2', 'A3', 'A4', 'B4', 'A6', 'A8', 'A10']"
10,20,10,2,0.6,50,23,0.0548648834228515,72,12,"['B4', 'B5', 'A5', 'B6', 'A8', 'B7', 'A9', 'B9', 'B10', 'A10']","['B1', 'A1', 'A2', 'B2', 'B3', 'A3', 'A4', 'A6', 'A7', 'B8']"
10,20,10,2,0.6,50,24,0.0401852130889892,82,12,"['B2', 'B4', 'A5', 'B6', 'A7', 'B8', 'B9', 'A8', 'A9', 'B10', 'A10']","['B1', 'A1', 'B3', 'B5', 'A2', 'A3', 'A4', 'A6', 'B7']"
10,20,10,2,0.6,50,25,0.0571789741516113,14,11,"['A1', 'A2', 'A3', 'A4', 'A6', 'B3', 'A7', 'A8', 'B5', 'B6', 'B8', 'B10']","['A5', 'B1', 'B2', 'B4', 'A9', 'A10', 'B7', 'B9']"
10,20,10,2,0.6,50,26,0.0550379753112793,77,11,"['A3', 'B3', 'B4', 'A6', 'B5', 'B6', 'A7', 'A8', 'A9', 'A10', 'B8', 'B9']","['B1', 'B2', 'A1', 'A2', 'A4', 'A5', 'B7', 'B10']"
10,20,10,2,0.6,50,27,0.0487909317016601,141,10,"['B1', 'A2', 'B4', 'B5', 'A4', 'B6', 'B7', 'B9', 'A8', 'B10', 'A9', 'A10']","['A1', 'B2', 'A3', 'B3', 'A5', 'A6', 'B8', 'A7']"
10,20,10,2,0.6,50,28,0.0451760292053222,-99999,-99999,[],[]
10,20,10,2,0.6,50,29,0.0552561283111572,171,12,"['B2', 'A1', 'A2', 'A3', 'B3', 'A7', 'B6', 'B7', 'B8', 'B9']","['B1', 'A4', 'A5', 'A6', 'A8', 'B4', 'B5', 'A9', 'A10', 'B10']"
10,20,10,4,0.3,50,0,0.0842461585998535,121,24,"['B4', 'B6', 'A8', 'B7', 'A9', 'B8', 'B10']","['B1', 'A1', 'B2', 'A2', 'A3', 'A4', 'B3', 'A5', 'A6', 'B5', 'A7', 'A10', 'B9']"
10,20,10,4,0.3,50,1,0.0822772979736328,-99999,-99999,[],[]
10,20,10,4,0.3,50,2,0.0957231521606445,-99999,-99999,[],[]
10,20,10,4,0.3,50,3,0.0933828353881836,94,25,"['B1', 'B4', 'A5', 'B7', 'A6', 'A7', 'A10']","['A1', 'A2', 'A3', 'B2', 'B3', 'A4', 'B5', 'B6', 'A8', 'B8', 'B9', 'A9', 'B10']"
10,20,10,4,0.3,50,4,0.1065559387207031,204,25,"['A3', 'B3', 'A4', 'A7', 'B6', 'A9', 'B10']","['A1', 'B1', 'A2', 'B2', 'B4', 'A5', 'B5', 'A6', 'B7', 'A8', 'A10', 'B8', 'B9']"
10,20,10,4,0.3,50,5,0.1169581413269043,363,24,"['A4', 'A5', 'B4', 'B5', 'B7', 'A10']","['A1', 'B1', 'A2', 'B2', 'A3', 'A6', 'B3', 'A7', 'A8', 'B6', 'A9', 'B8', 'B9', 'B10']"
10,20,10,4,0.3,50,6,0.111515998840332,161,24,"['A4', 'B6', 'A9', 'B10']","['B1', 'B2', 'A1', 'A2', 'B3', 'A3', 'A5', 'B4', 'A6', 'B5', 'A7', 'A8', 'B7', 'B8', 'B9', 'A10']"
10,20,10,4,0.3,50,7,0.1105108261108398,350,25,"['B4', 'A5', 'B7', 'B9', 'B10', 'A10']","['B1', 'B2', 'A1', 'B3', 'A2', 'A3', 'B5', 'A4', 'A6', 'A7', 'B6', 'A8', 'A9', 'B8']"
10,20,10,4,0.3,50,8,0.1047890186309814,235,20,"['B3', 'B6', 'B7', 'B8', 'B9', 'B10']","['A1', 'B1', 'A2', 'A3', 'A4', 'B2', 'B4', 'A5', 'B5', 'A6', 'A7', 'A8', 'A9', 'A10']"
10,20,10,4,0.3,50,9,0.0862212181091308,262,24,"['B2', 'A2', 'B4', 'B5', 'B6', 'A6', 'B9', 'B10', 'A9']","['A1', 'B1', 'B3', 'A3', 'A4', 'A5', 'B7', 'A7', 'B8', 'A8', 'A10']"
10,20,10,4,0.3,50,10,0.1125671863555908,-99999,-99999,[],[]
10,20,10,4,0.3,50,11,0.107734203338623,86,24,"['A2', 'B2', 'A4', 'A8', 'B7', 'A9', 'A10']","['A1', 'B1', 'A3', 'B3', 'A5', 'A6', 'A7', 'B4', 'B5', 'B6', 'B8', 'B9', 'B10']"
10,20,10,4,0.3,50,12,0.0985157489776611,76,25,"['A1', 'A4', 'A5', 'B5', 'B6', 'A6', 'A9', 'A10', 'B9']","['A2', 'B1', 'B2', 'B3', 'A3', 'B4', 'A7', 'B7', 'A8', 'B8', 'B10']"
10,20,10,4,0.3,50,13,0.0884280204772949,223,25,"['B1', 'B2', 'A3', 'A6', 'B5', 'B6', 'B9', 'A7', 'A10', 'B10']","['A1', 'B3', 'A2', 'B4', 'A4', 'A5', 'B7', 'B8', 'A8', 'A9']"
10,20,10,4,0.3,50,14,0.096099853515625,267,25,"['A3', 'B3', 'B4', 'B6', 'A7', 'B10', 'A10']","['B1', 'A1', 'A2', 'B2', 'A4', 'A5', 'A6', 'B5', 'B7', 'B8', 'B9', 'A8', 'A9']"
